日期,000300.SH,H11001,H11025,AUCI.SHF
2010/10/28,3397.692,133.37,1121.8959,1454.5501
2010/10/29,3379.983,133.35,1121.985,1466.9938
2010/11/1,3472.995,133.41,1122.1593,1493.6011
2010/11/2,3463.131,133.35,1122.23,1488.5933
2010/11/3,3420.341,133.15,1122.284,1479.0328
2010/11/4,3480.505,132.87,1122.3418,1485.5076
2010/11/5,3520.798,132.64,1122.3996,1523.7999
2010/11/8,3548.566,132.47,1122.5635,1525.7221
2010/11/9,3523.954,132.48,1122.6406,1574.3336
2010/11/10,3499.111,132.03,1122.6938,1546.664
2010/11/11,3509.975,131.43,1122.7541,1553.7458
2010/11/12,3291.833,131.25,1122.8292,1522.5859
2010/11/15,3314.893,131.25,1123.0095,1496.7879
2010/11/16,3169.538,131.12,1123.0709,1489.959
2010/11/17,3103.906,131.18,1123.121,1458.8497
2010/11/18,3147.962,131.33,1123.1725,1482.0679
2010/11/19,3178.846,131.23,1123.249,1487.1769
2010/11/22,3171.941,130.96,1123.4061,1488.745
2010/11/23,3107.176,130.79,1123.4578,1492.1341
2010/11/24,3177.043,130.69,1123.5121,1510.8503
2010/11/25,3223.484,130.64,1123.5651,1504.6285
2010/11/26,3194.853,130.72,1123.6242,1493.2976
2010/11/29,3190.05,130.66,1123.7895,1491.2236
2010/11/30,3136.985,130.63,1123.8556,1498.8619
2010/12/1,3136.024,130.61,1123.9204,1537.5082
2010/12/2,3155.059,130.74,1123.9812,1542.6172
2010/12/3,3158.156,131.03,1124.0404,1535.9907
2010/12/6,3165.57,131.02,1124.2265,1560.5746
2010/12/7,3200.339,130.9,1124.2906,1567.3023
2010/12/8,3171.882,130.99,1124.3591,1524.1034
2010/12/9,3123.366,131.22,1124.4233,1519.2979
2010/12/10,3161.977,131.3,1124.4828,1524.5081
2010/12/13,3261.061,131.41,1124.669,1529.3642
2010/12/14,3269.474,131.26,1124.7347,1547.6251
2010/12/15,3247.644,131.39,1124.7996,1523.0917
2010/12/16,3230.665,131.56,1124.8672,1518.792
2010/12/17,3225.661,131.7,1124.9364,1515.15
2010/12/20,3178.657,131.77,1125.1589,1529.4147
2010/12/21,3249.509,131.79,1125.2328,1529.5665
2010/12/22,3215.453,131.67,1125.3168,1529.3136
2010/12/23,3188.607,131.62,1125.4204,1527.6949
2010/12/24,3162.955,131.81,1125.5072,1525.1151
2010/12/27,3099.709,131.49,1125.7432,1525.6209
2010/12/28,3044.931,131.25,1125.8221,1536.3954
2010/12/29,3061.83,131.52,1125.906,1553.4423
2010/12/30,3064.098,131.56,1125.9909,1559.8665
2010/12/31,3128.261,131.75,1126.086,1563.6097
2011/1/4,3189.682,131.91,1126.4443,1557.0337
2011/1/5,3175.662,132.03,1126.5351,1517.2745
2011/1/6,3159.643,131.84,1126.6427,1512.0138
2011/1/7,3166.624,131.91,1126.7386,1502.4028
2011/1/10,3108.187,131.92,1126.9798,1513.5313
2011/1/11,3124.922,131.75,1127.0781,1515.8076
2011/1/12,3142.337,132.06,1127.1777,1522.8894
2011/1/13,3141.284,131.87,1127.2692,1516.7181
2011/1/14,3091.862,131.76,1127.3574,1504.3755
